Age group,Genre,Rating
1,Drama,5
1,Animation|Children's|Musical,3
1,Musical|Romance,3
1,Drama,4
1,Animation|Children's|Comedy,5
1,Action|Adventure|Comedy|Romance,3
1,Action|Adventure|Drama,5
1,Comedy|Drama,5
1,Animation|Children's|Musical,4
1,Adventure|Children's|Drama|Musical,4
1,Animation|Children's|Musical,5
1,Musical,4
1,Drama,4
1,Comedy,4
1,Musical,5
1,Comedy,4
1,Animation|Children's,3
1,Animation|Children's,4
1,Drama,5
1,Comedy|Fantasy,4
1,Comedy,3
1,Animation,3
1,Comedy|Sci-Fi,5
1,Drama|War,5
1,Romance,3
1,Animation|Children's|Musical|Romance,5
1,Children's|Drama|Fantasy|Sci-Fi,4
1,Drama|Romance,4
1,Drama,4
1,Animation|Comedy|Thriller,3
1,Animation|Children's,4
1,Drama,4
1,Adventure|Animation|Children's|Comedy|Musical,4
1,Animation|Children's|Comedy|Musical,4
1,Animation|Children's,4
1,Animation|Children's|Musical,4
1,Drama,5
1,Animation|Children's|Musical,5
1,Thriller,4
1,Drama,5
1,Animation|Children's|Comedy,5
1,Drama,5
1,Drama,4
1,Action|Crime|Romance,4
1,Action|Adventure|Fantasy|Sci-Fi,4
1,Children's|Comedy|Musical,5
1,Animation|Children's|Musical,5
1,Drama,4
1,Action|Drama|War,5
1,Children's|Drama,4
1,Animation|Children's|Comedy,4
1,Crime|Drama|Thriller,4
1,Drama,4
1,Adventure|Animation|Film-Noir,4
1,Action,4
1,Comedy,3
1,Comedy|Fantasy,5
1,Action|Adventure|Mystery,3
1,Action|Adventure|Fantasy|Sci-Fi,3
1,Comedy,3
1,Drama,4
1,Horror,4
1,Horror,3
1,Horror,4
1,Sci-Fi|Thriller,4
1,Action,3
1,Action|Sci-Fi,4
1,Action,5
1,Animation,5
1,Action,4
1,Horror,2
1,Horror,5
1,Animation|Comedy,4
1,Adventure|Comedy|Drama,4
1,Comedy|Romance,5
1,Horror|Romance,3
1,Thriller,4
1,Action|Thriller,2
1,Animation|Children's|Comedy|Musical,4
1,Action|Sci-Fi|Thriller,4
1,Horror,4
1,Mystery|Sci-Fi|Thriller,4
1,Action|Crime,3
1,Comedy,5
1,Animation|Children's|Comedy,5
1,Comedy,4
1,Horror|Thriller,4
1,Horror|Sci-Fi,3
1,Action|Adventure|Comedy|Horror,5
1,Animation|Children's,3
1,Comedy|Documentary,3
1,Adventure|War,3
1,Animation|Children's,4
1,Comedy|Romance,4
1,Horror|Romance,4
1,Drama,5
1,Action|Adventure|Thriller,5
1,Drama|Thriller,5
1,Horror,3
1,Action|Adventure|Drama|Sci-Fi|War,5
1,Action|Adventure|Comedy|Romance,4
1,Action|Adventure,4
1,Horror|Thriller,2
1,Action|Adventure|Sci-Fi,3
1,Comedy,3
1,Action|Adventure|Crime|Drama,4
1,Drama|Thriller,5
1,Animation|Children's|Musical,3
1,Comedy|Horror,4
1,Animation|Children's|Musical,3
1,Comedy|Horror,5
1,Horror,4
1,Action|Sci-Fi|Thriller,4
1,Animation|Children's,4
1,Horror|Thriller,3
1,Horror,2
1,Horror,2
1,Comedy,3
1,Action|Comedy|Crime|Drama,5
1,Action|Comedy|Musical,4
1,Horror,4
1,Horror,1
1,Action|Thriller,5
1,Horror,3
1,Comedy|Sci-Fi,5
1,Horror,3
1,Animation|Sci-Fi,2
1,Action|Adventure|Fantasy,3
1,Action|Adventure,5
1,Animation|Children's|Comedy|Musical,5
1,Action|Drama|Romance,4
1,Comedy|Horror,5
1,Action|Adventure|Children's|Comedy,1
1,Action|Sci-Fi|Thriller,4
1,Horror,1
1,Drama,4
1,Horror,4
1,Animation|Children's|Comedy|Musical|Romance,4
1,Animation|Children's|Comedy|Musical|Romance,3
1,Animation|Children's|Musical,3
1,Animation|Children's,4
1,Action|Adventure|Sci-Fi,5
1,Animation|Children's|Fantasy|Musical,4
1,Animation|Children's,3
1,Adventure|Drama|Thriller,4
1,Action|Sci-Fi|War,3
1,Action|Thriller,3
1,Comedy,4
1,Action|Adventure|Sci-Fi,5
1,Horror|Thriller,2
1,Action|Comedy,2
1,Action|Adventure,4
1,Action|Adventure|Sci-Fi,2
1,Animation|Children's|Musical,3
1,Drama|Sci-Fi,2
1,Comedy|Horror|Musical,4
1,Comedy|Horror,4
1,Action|Sci-Fi,1
1,Action|Adventure|Thriller,5
1,Action|Adventure|Fantasy|Sci-Fi,3
1,Animation|Children's|Comedy,4
1,Drama|Romance,4
1,Action|Thriller,4
1,Action|Adventure|Sci-Fi,2
1,Action|Crime|Sci-Fi,3
1,Action|Adventure|Sci-Fi,4
1,Action|Adventure|Sci-Fi,2
1,Action|Adventure|Sci-Fi,5
1,Action|Adventure|Sci-Fi,3
1,Horror,2
1,Action|Adventure|Sci-Fi,3
1,Action|Thriller,2
1,Adventure|Children's|Drama|Musical,4
1,Action,5
1,Comedy,3
1,Comedy,4
1,Animation|Children's,4
1,Comedy,4
1,Comedy|Drama,5
1,Action|Sci-Fi,3
1,Crime|Drama|Sci-Fi,3
1,Action|Horror,5
1,Action,5
1,Action,5
1,Action|Crime|Drama,4
1,Comedy,4
1,Animation|Children's,2
1,Animation|Children's|Musical,3
1,Thriller,5
1,Action|Romance|Sci-Fi,4
1,Comedy,4
1,Drama,5
1,Action,4
1,Animation|Children's,3
1,Action|Crime|Romance,5
1,Action|Comedy,4
1,Comedy,4
1,Animation|Children's|Musical,4
1,Action|Comedy|Sci-Fi|Thriller,1
1,Drama|Sci-Fi,4
1,Comedy|Romance|War,4
1,Children's|Comedy|Drama,3
1,Action|Comedy,3
1,Drama,2
1,Action|Thriller,3
1,Horror|Mystery|Thriller,2
1,Comedy,3
1,Thriller,5
1,Action|Crime,4
1,Comedy,3
1,Comedy,4
1,Action|Thriller,5
1,Horror,3
1,Animation|Children's,3
1,Animation|Children's|Musical,3
1,Action|Thriller,2
1,Action|Adventure|Mystery,3
1,Action|Comedy|Western,2
1,Crime|Thriller,4
1,Action|Adventure,4
1,Horror,1
1,Horror,2
1,Horror,5
1,Comedy|Drama,5
1,Horror,3
1,Comedy,5
1,Horror|Romance,4
1,Action|Romance|Thriller,4
1,Action|Thriller,5
1,Action|Thriller,3
1,Action|Adventure|Thriller,3
1,Horror|Sci-Fi,1
1,Animation|Children's|Comedy,5
1,Comedy,5
1,Horror,3
1,Action|Adventure|Sci-Fi|Thriller,3
1,Comedy,5
1,Horror|Thriller,5
