director,cast,year,movie_name,rating
Joe Johnston,"Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Bonnie Hunt,Bebe Neuwirth,David Alan Grier,Patricia Clarkson,Adam Hann-Byrd,Laura Bell Bundy,James Handy,Gillian Barber,Brandon Obray,Cyrus Thiedeke,Gary Joseph Thorup",1995,Jumanji,6.9
John Lasseter,"Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Erik von Detten,Laurie Metcalf,R. Lee Ermey,Sarah Freeman,Penn Jillette,Jack Angel,Spencer Aste",1995,Toy Story,8.3
Peter Hewitt,"Jonathan Taylor Thomas,Brad Renfro,Eric Schweig,Charles Rocket,Amy Wright,Michael McShane,Marian Seldes,Rachael Leigh Cook,Lanny Flaherty,Courtland Mead,Peter Mackenzie,Heath Lamberts,William Newman,Joey Stinson,Blake Heron",1995,Tom and Huck,5.6
Charles Shyer,"Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams,Eugene Levy,Rebecca Chambers,April Ortiz,Dulcy Rogers,Kathy Anthony",1995,Father of the Bride Part II,5.9
Sydney Pollack,"Harrison Ford,Julia Ormond,Greg Kinnear,Nancy Marchand,John Wood,Richard Crenna,Angie Dickinson,Lauren Holly,Dana Ivey,Miriam Colon,Elizabeth Franz,Fanny Ardant,Valrie Lemercier,Patrick Bruel,Becky Ann Baker",1995,Sabrina,6.2
Howard Deutch,"Walter Matthau,Jack Lemmon,Sophia Loren,Ann-Margret,Burgess Meredith,Daryl Hannah,Kevin Pollak,Katie Sagona,Ann Morgan Guilbert,James Andelin,Marcus Klemp,Max Wright,Cheryl Hawker,Wayne A. Evenson,Allison Levine",1995,Grumpier Old Men,6.6
Forest Whitaker,"Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Dennis Haysbert,Mykelti Williamson,Michael Beach,Leon,Wendell Pierce,Donald Faison,Jeffrey D. Sams,Jazz Raycole,Brandon Hammond,Kenya Moore",1995,Waiting to Exhale,5.6
Martin Campbell,"Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Robbie Coltrane,Gottfried John,Alan Cumming,Tchky Karyo,Desmond Llewelyn,Samantha Bond,Michael Kitchen,Serena Gordon,Simon Kunz",1995,GoldenEye,7.2
Renny Harlin,"Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Stan Shaw,Rex Linn,Paul Dillon,Christopher Masterson,Jimmie F. Skaggs,Harris Yulin,Carl Chase,Peter Geeves,Angus Wright,Ken Bones",1995,Cutthroat Island,5.6
Oliver Stone,"Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Bob Hoskins,E.G. Marshall,David Paymer,David Hyde Pierce,Paul Sorvino,Mary Steenburgen,J.T. Walsh,James Woods,Brian Bedford,Kevin Dunn,Fyvush Finkel",1995,Nixon,7.1
Peter Hyams,"Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry,Whittni Wright,Ross Malinger,Dorian Harewood,Kate McNeil,Michael Gaston,Audra Lindley,Brian Delate,Steve Aronson,Michael R. Aubele,Karen Elise Baldwin,Jennifer D. Bowser,Pat Brisson",1995,Sudden Death,5.7
Martin Scorsese,"Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King,Kevin Pollak,L.Q. Jones,Dick Smothers,Frank Vincent,John Bloom,Pasquale Cajano,Melissa Prophet,Bill Allison,Vinny Vella",1995,Casino,8.2
Simon Wells,"Kevin Bacon,Bob Hoskins,Bridget Fonda,Jim Cummings,Phil Collins,Jack Angel,Danny Mann,Robbie Rist,Juliette Brewer,Sandra Dickinson,Miriam Margolyes,Lola Bates-Campbell,Donald Sinden,William Roberts,Garrick Hagon",1995,Balto,7.1
Steve Oedekerk,"Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton,Sophie Okonedo,Tommy Davidson,Adewale Akinnuoye-Agbaje,Danny Daniels,Sam Motoana Phillips,Damon Standifer,Andrew Steel,Bruce Spence,Tom Grunke,Arsenio 'Sonny' Trinidad",1995,Ace Ventura: When Nature Calls,6.3
"Allison Anders,Alexandre Rockwell","Sammi Davis,Amanda De Cadenet,Valeria Golino,Madonna,Ione Skye,Lili Taylor,Alicia Witt,Jennifer Beals,David Proval,Antonio Banderas,Lana McKissack,Patricia Vonne,Tamlyn Tomita,Danny Verduzco,Salma Hayek",1995,Four Rooms,6.7
Joseph Ruben,"Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper,Joe Grifasi,Scott Sowers,Skipp Sudduth,Vincent Laresca,Nelson Vasquez,Vincent Patrick,Aida Turturro,Alvaleta Guess,Vincent Pastore,David Tawil",1995,Money Train,5.6
Ang Lee,"James Fleet,Tom Wilkinson,Harriet Walter,Kate Winslet,Emma Thompson,Gemma Jones,Hugh Grant,Emilie Franois,Elizabeth Spriggs,Robert Hardy,Ian Brimble,Isabelle Amyes,Alan Rickman,Greg Wise,Alexander John",1995,Sense and Sensibility,7.7
Mel Brooks,"Leslie Nielsen,Peter MacNicol,Steven Weber,Amy Yasbeck,Lysette Anthony,Harvey Korman,Mel Brooks,Mark Blankfield,Megan Cavanaugh,Clive Revill,Chuck McCann,Avery Schreiber,Cherie Franklin,Ezio Greggio,Leslie S. Sachs",1995,Dracula: Dead and Loving It,5.8
Rob Reiner,"Michael Douglas,Annette Bening,Martin Sheen,Michael J. Fox,Anna Deavere Smith,Samantha Mathis,Shawna Waldron,David Paymer,Anne Haney,Richard Dreyfuss,Nina Siemaszko,Wendie Malick,Beau Billingslea,Gail Strickland,Joshua Malina",1995,The American President,6.8
Jon Amiel,"Sigourney Weaver,Holly Hunter,Dermot Mulroney,William McNamara,Harry Connick Jr.,J.E. Freeman,Will Patton,John Rothman,Shannon O'Hurley,Bob Greene,Tony Haney,Danny Kovacs,Tahmus Rounds,Scott DeVenney,David Michael Silverman",1995,Copycat,6.6
Barry Sonnenfeld,"John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina,Delroy Lindo,James Gandolfini,Jon Gries,Renee Props,David Paymer,Martin Ferrero,Miguel Sandoval,Jacob Vargas,Linda Hart,Bobby Slayton",1995,Get Shorty,6.9
Victor Salva,"Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,Brandon Smith,Bradford Tatum,Susan Tyrrell,Missy Crider,Ray Wise,Esteban Powell,Reed Frerichs,Chad Cox,Joe Marchman,Philip Maurice Hayes,Danette McMahon",1995,Powder,6.5
Richard Donner,"Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Muse Watson,Steve Kahan,Kelly Rowan,Reed Diamond,Kai Wulff,Kerry Skalsky,James Douglas Haskins,Stephen Liska,John Harms,Edward J. Rosen,Christina Orchid",1995,Assassins,6.3
Oliver Parker,"Laurence Fishburne,Irne Jacob,Kenneth Branagh,Nathaniel Parker,Michael Maloney,Anna Patrick,Nicholas Farrell,Indra Ov,Michael Sheen,Andr Oumansky,Philip Locke,John Savident,Gabriele Ferzetti,Pierre Vaneck",1995,Othello,7
