	Movie ID	Genre	Name	Year	Director	Cast	imDB rating	label
0	2	Adventure|Children's|Fantasy	Jumanji	1995	Joe Johnston	Robin Williams, Jonathan Hyde	6.9	0
2	8	Adventure|Children's	Tom and Huck	1995	Peter Hewitt	Jonathan Taylor Thomas, Brad Renfro	5.6	0
6	4	Comedy|Drama	Waiting to Exhale	1995	Forest Whitaker	Whitney Houston, Angela Bassett	5.6	0
7	10	Action|Adventure|Thriller	GoldenEye	1995	Martin Campbell	Pierce Brosnan, Sean Bean	7.2	0
8	15	Action|Adventure|Romance	Cutthroat Island	1995	Renny Harlin	Geena Davis, Matthew Modine	5.6	0
10	9	Action	Sudden Death	1995	Peter Hyams	Jean-Claude Van Damme, Powers Boothe	5.7	0
12	13	Animation|Children's	Balto	1995	Simon Wells	Kevin Bacon, Bob Hoskins	7.1	0
14	18	Thriller	Four Rooms	1995	Allison Anders,Alexandre Rockwell	Sammi Davis, Amanda De Cadenet	6.7	0
15	20	Action	Money Train	1995	Joseph Ruben	Wesley Snipes, Woody Harrelson	5.6	0
19	21	Action|Comedy|Drama	Get Shorty	1995	Barry Sonnenfeld	John Travolta, Gene Hackman	6.9	0
21	23	Thriller	Assassins	1995	Richard Donner	Sylvester Stallone, Antonio Banderas	6.3	0
26	33	Adventure|Romance	Wings of Courage	1995	Jean-Jacques Annaud	Craig Sheffer, Tom Hulce	6.6	0
27	34	Children's|Comedy|Drama	Babe	1995	Chris Noonan	Christine Cavanaugh, Miriam Margolyes	6.8	0
33	37	Documentary	Across the Sea of Time	1995	Stephen Low	Peter Reznick, John McDonough	6.6	0
37	44	Action|Adventure	Mortal Kombat	1995	Paul W.S. Anderson	Christopher Lambert, Robin Shou	5.8	0
40	56	Adventure|Children's|Fantasy	Kids of the Round Table	1995	Robert Tinnell	Johnny Morina, Maggie Castle	5.1	0
48	71	Action	Fair Game	1995	Andrew Sipes	William Baldwin, Cindy Crawford	4.1	0
49	72	Comedy|Drama	Kicking and Screaming	1995	Noah Baumbach	Josh Hamilton, Samuel Gould	7.1	0
51	76	Sci-Fi|Thriller	Screamers	1995	Christian Duguay	Peter Weller, Roy Dupuis	6.4	0
52	75	Comedy|Drama	Big Bully	1996	Steve Miner	Rick Moranis, Tom Arnold	4.5	0
53	77	Documentary	Nico Icon	1995	Susanne Ofteringer	Nico, Tina Aumont	7.3	0
56	84	Comedy|Drama	Last Summer in the Hamptons	1995	Henry Jaglom	Victoria Foyt, Viveca Lindfors	6.1	0
61	89	Action|Thriller	Nick of Time	1995	John Badham	Johnny Depp, Courtney Chase	6.3	0
64	95	Action|Thriller	Broken Arrow	1996	John Woo	John Travolta, Christian Slater	6.0	0
66	99	Documentary	Heidi Fleiss: Hollywood Madam	1995	Nick Broomfield	Nick Broomfield, Madam Alex	6.6	0
71	106	Comedy|Drama	Nobody Loves Me	1994	Doris Drrie	Maria Schrader, Pierre Sanoussi-Bliss	7.4	0
73	108	Documentary	Catwalk	1995	Robert Leacock	Christy Turlington, Azzedine Alaa	6.4	0
77	112	Action|Adventure|Crime	Rumble in the Bronx	1995	Stanley Tong	Jackie Chan, Anita Mui	6.7	0
80	116	Documentary	Anne Frank Remembered	1995	Jon Blair	Kenneth Branagh, Janny Brandes-Brilslijper	8.2	0
87	133	Comedy|Drama	Nueba Yol	1995	ngel Muiz	Luisito Mart, Caridad Ravelo	7.0	0
89	134	Documentary	Sonic Outlaws	1995	Craig Baldwin	Lloyd Dunn, Chris Grigg	7.4	0
91	136	Documentary	From the Journals of Jean Seberg	1995	Mark Rappaport	Mary Beth Hurt, Jean Seberg	7.2	0
97	158	Adventure|Children's	Casper	1995	Brad Silberling	Chauncey Leopardi, Spencer Vrooman	6.0	0
101	163	Action|Romance|Thriller	Desperado	1995	Robert Rodriguez	Antonio Banderas, Salma Hayek	7.2	0
102	165	Action|Thriller	Die Hard: With a Vengeance	1995	John McTiernan	Bruce Willis, Jeremy Irons	7.6	0
103	162	Documentary	Crumb	1994	Terry Zwigoff	Robert Crumb, Aline Kominsky	8.0	0
104	164	Crime|Film-Noir|Mystery|Thriller	Devil in a Blue Dress	1995	Carl Franklin	Denzel Washington, Tom Sizemore	6.7	0
106	170	Action|Crime|Thriller	Hackers	1995	Iain Softley	Jonny Lee Miller, Angelina Jolie	6.2	0
109	173	Action|Adventure|Sci-Fi	Judge Dredd	1995	Danny Cannon	Sylvester Stallone, Armand Assante	5.4	0
110	172	Action|Sci-Fi|Thriller	Johnny Mnemonic	1995	Robert Longo	Keanu Reeves, Dina Meyer	5.6	0
113	177	Horror	Lord of Illusions	1995	Clive Barker	Scott Bakula, Kevin J. O'Connor	6.0	0
114	181	Action|Children's	Mighty Morphin Power Rangers: The Movie	1995	Bryan Spicer	Karan Ashley, Johnny Yong Bosch	5.0	0
120	190	Thriller	Safe	1995	Todd Haynes	Julianne Moore, Xander Berkeley	7.1	0
123	195	Comedy|Drama|Romance	Something to Talk About	1995	Lasse Hallstrm	Julia Roberts, Dennis Quaid	5.7	0
125	196	Horror|Sci-Fi	Species	1995	Roger Donaldson	Ben Kingsley, Michael Madsen	5.8	0
126	198	Action|Crime|Sci-Fi	Strange Days	1995	Kathryn Bigelow	Ralph Fiennes, Angela Bassett	7.2	0
129	206	Documentary	Unzipped	1995	Douglas Keeve	Roseanne Barr, Sandra Bernhard	6.4	0
130	208	Action|Adventure	Waterworld	1995	Kevin Reynolds	Kevin Costner, Chaim Jeraffi	6.1	0
131	205	Comedy|Drama	Unstrung Heroes	1995	Diane Keaton	Andie MacDowell, John Turturro	6.8	0
137	218	Comedy|Drama	Boys on the Side	1995	Herbert Ross	Whoopi Goldberg, Mary-Louise Parker	6.4	0
139	220	Horror	Castle Freak	1995	Stuart Gordon	Jeffrey Combs, Barbara Crampton	5.9	0
142	227	Action	Drop Zone	1994	John Badham	Wesley Snipes, Gary Busey	5.6	0
145	232	Comedy|Drama	Eat Drink Man Woman	1994	Ang Lee	Sihung Lung, Yu-Wen Wang	7.8	0
150	235	Comedy|Drama	Ed Wood	1994	Tim Burton	Johnny Depp, Martin Landau	7.9	0
152	240	Thriller	Hideaway	1995	Brett Leonard	Jeff Goldblum, Christine Lahti	5.3	0
155	246	Documentary	Hoop Dreams	1994	Steve James	William Gates, Arthur Agee	8.3	0
158	244	Animation|Children's	Gumby: The Movie	1995	Art Clokey	Dal McKennon, Art Clokey	6.2	0
161	257	Mystery|Thriller	Just Cause	1995	Arne Glimcher	Sean Connery, Laurence Fishburne	6.4	0
178	288	Action|Thriller	Natural Born Killers	1994	Oliver Stone	Woody Harrelson, Juliette Lewis	7.3	0
193	311	Horror|Thriller	Relative Fear	1994	George Mihalka	Darlanne Fluegel, Martin Neufeld	5.7	0
195	316	Action|Adventure|Sci-Fi	Stargate	1994	Roland Emmerich	Kurt Russell, James Spader	7.0	0
196	319	Thriller	Shallow Grave	1994	Danny Boyle	Kerry Fox, Christopher Eccleston	7.4	0
199	329	Action|Adventure|Sci-Fi	Star Trek: Generations	1994	David Carson	Patrick Stewart, Jonathan Frakes	6.6	0
